 几何真好玩,¥49.00,南海出版公司,〔意〕安娜・伽拉佐利 文，（意）阿德里亚诺・贡 图 ， 爱心树童书 出品,1.0
 冰雪奇缘系列迪士尼幼儿科学大揭秘故事书科普百科学习（全4册）,¥38.40,NAN,巨童文化,1.0
 6本孩子必读的科普读物 儿童科学启蒙3-6-9岁科普书科普绘本儿童绘本畅销读物科普馆幼儿百科全书早教益智十万个为什么,¥24.70,江苏凤凰科学技术出版社,方晨,0.0
 科普绘本科普读物最畅销精装图解舌尖上的中国美食书历史上的100种历史书籍排行榜前十名百科全书儿童3-6岁漫画书7-10,¥18.80,北方妇女儿童出版社,北方妇女儿童出版社,0.0
 童眼识天下――认国旗,¥20.50,化学工业出版社,童心 编,1.0
 宇宙 （雨果奖、普利策奖、艾美奖得主卡尔萨根经典作品）,¥53.70,广西科学技术出版社,卡尔・萨根,0.9
 小彗星旅行记(北京天文馆推荐),¥33.60,人民邮电出版社,徐刚 著 绘,1.0
 亲爱的古代朋友（超值礼品盒装：精装5册+爸爸妈妈知道吗？）,¥157.50,新蕾出版社,赵立健,0.9
 新编十万个为什么（套装共8册）适用6-12周岁 彩图注音版 儿童科普少儿百科全书 课外读物,¥76.60,世界图书出版公司,思展教育,1.0
 欧布奥特曼儿童逆商培养趣味科普故事书：复仇的导火索,¥13.00,南京大学出版社,上海新创华文化发展有限公司,1.0
 果壳中的宇宙,¥42.00,湖南科技出版社,史蒂芬・霍金,1.0
 彩图版李毓佩数学故事系列（全7册）,¥93.20,湖北少儿出版社,李毓佩 著,1.0
 太空猫：星际穿越,¥51.00,长江少年儿童出版社,作者 多米尼克・瓦里曼，绘者 本・纽曼,1.0
 漫步到宇宙尽头,¥37.90,湖南科技出版社,李然,0.9
 给孩子讲宇宙,¥30.80,湖南科技出版社,李淼 王爽,1.0
 星座・宇宙之美（全2册）,¥98.00,NAN,（日）渡部润一 监修，郑敏 译,1.0
 科普绘本科普读物最畅销图解中国儿童漫画书中国历史上的100种身份与职业历史书籍排行榜前十名幼儿认知小百科全书儿童3-6,¥18.80,北方妇女儿童出版社,北方妇女儿童出版社,0.0
 十万个为什么：幼儿版（套装全四册）,¥38.10,北京日报出版社（原同心出版社）,智慧帽儿童潜能开发中心 著,1.0
 儿童科普读物 万物探索地球的奥秘百科全书中小学生课外阅读书籍三四五六年级必读青少年科学探索故事书,¥19.20,山东美术出版社,焦庆峰,0.0
